h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
2.00000000,8.00000000,-1.00000000,4.00000000,1.00785934,9.47615254,3.08880948,3.47129919,5939.22716206,5718.03934603,0.00000000,0.01062223,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,4.00000000,4.00000000,1.00641448,9.48978815,3.09435537,3.47589791,5950.36468239,5824.29309909,180.00000000,0.01059189,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-1.00000000,4.00000000,1.00573607,9.49620405,3.09696763,3.47806175,6338.14011988,6265.15445871,-180.00000000,0.01057766,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,0.00000000,4.00000000,0.99871198,9.56314727,3.12432969,3.50064048,4892.08338973,4626.84406352,0.00000000,0.01043089,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,2.00000000,4.00000000,0.99777341,9.57216391,3.12802989,3.50368180,4954.04241918,4670.63845469,0.00000000,0.01041136,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-5.00000000,4.00000000,1.00002591,9.55055310,3.11916725,3.49639252,6718.07276142,6462.64355176,180.00000000,0.01045827,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-2.00000000,4.00000000,0.99241921,9.62392811,3.14934041,3.52114274,6940.23182393,6594.11516400,180.00000000,0.01030028,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,0.00000000,4.00000000,0.98737451,9.67321559,3.16973878,3.53776953,5308.85148272,5114.24754032,180.00000000,0.01019617,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-5.00000000,4.00000000,0.99304324,9.61786619,3.14683884,3.51909788,5549.23138096,5270.93953982,0.00000000,0.01031320,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-3.00000000,4.00000000,0.98538370,9.69280544,3.17787545,3.54437838,5651.66977233,5404.76907595,-180.00000000,0.01015523,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-2.00000000,4.00000000,0.97393421,9.80703066,3.22564902,3.58291751,7572.05759961,6900.05599420,0.00000000,0.00992139,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-5.00000000,4.00000000,0.98179239,9.72834617,3.19267963,3.55636895,5606.77693880,5249.63094066,-180.00000000,0.01008159,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-4.00000000,4.00000000,0.97787721,9.76739050,3.20900608,3.56954230,5483.69443686,5035.60073088,180.00000000,0.01000161,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,4.00000000,0.96635108,9.88417892,3.25823440,3.60895091,4352.58822920,4911.19207012,0.00000000,0.00976801,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,2.00000000,4.00000000,0.96360613,9.91240547,3.27022080,3.61847665,5199.80810916,5835.75113962,180.00000000,0.00971279,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,3.00000000,4.00000000,0.96267796,9.92198656,3.27429724,3.62171012,5124.67237174,5749.15822635,180.00000000,0.00969415,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-2.00000000,4.00000000,0.96723673,9.87510594,3.25438887,3.60588911,6523.80193689,7316.25706962,180.00000000,0.00978586,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-1.00000000,4.00000000,0.96155576,9.93359521,3.27924166,3.62562792,6731.63462936,7575.79126392,0.00000000,0.00967164,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,0.00000000,4.00000000,0.95682957,9.98278575,3.30025780,3.64223004,6740.83807487,7430.05081927,180.00000000,0.00957713,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-2.00000000,4.00000000,0.95814465,9.96904939,3.29437856,3.63759380,4954.06012119,5533.61288339,0.00000000,0.00960338,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-1.00000000,4.00000000,0.95685647,9.98250436,3.30013729,3.64213507,4922.74097779,5427.45864956,-180.00000000,0.00957767,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,4.00000000,0.95353296,10.01738680,3.31510343,3.65390889,6121.54390139,6601.93868889,180.00000000,0.00951148,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,5.00000000,2.00000000,0.95403358,10.01211683,3.31283900,3.65213008,9471.52960445,10243.01942771,0.00000000,0.00476072,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,-1.00000000,4.00000000,0.95122226,10.04178340,3.32560195,3.66214383,5184.42493533,5526.42342786,-180.00000000,0.00946560,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,1.00000000,4.00000000,0.94976054,10.05727788,3.33228301,3.66737408,5303.23761299,5664.91252894,-0.00000000,0.00943664,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-4.00000000,4.00000000,0.95566447,9.99498714,3.30548692,3.64634829,5246.60394098,5727.39812268,-0.00000000,0.00955390,1.00000000,1.00000000,1.00000000
