h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
1.00000000,3.00000000,3.00000000,4.00000000,1.24080002,7.69416422,1.95723477,2.60070869,4981.75986826,5982.76586653,180.00000000,0.01238474,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-1.00000000,4.00000000,1.22835628,7.77222834,1.97314221,2.62157544,3488.25684454,5050.70075789,180.00000000,0.01213809,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-1.00000000,4.00000000,1.22923953,7.76663518,1.97199720,2.62008030,5062.11762311,7929.25628454,-0.00000000,0.01215551,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-3.00000000,4.00000000,1.22437807,7.79752060,1.97833009,2.62833660,4574.90449240,4974.14736391,180.00000000,0.01205976,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,0.00000000,4.00000000,1.21374371,7.86594653,1.99244878,2.64662946,9697.11335196,7646.12998056,180.00000000,0.01185163,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,2.00000000,4.00000000,1.21028910,7.88843431,1.99711539,2.65264167,10982.09882772,8388.26752424,0.00000000,0.01178440,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-2.00000000,4.00000000,1.22475372,7.79512528,1.97783806,2.62769627,12787.50505259,14156.94490658,0.00000000,0.01206715,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-1.00000000,4.00000000,1.20300495,7.93627479,2.00708688,2.66543265,8675.30197176,5821.18444280,-180.00000000,0.01164329,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-4.00000000,4.00000000,1.21885282,7.83292302,1.98561966,2.63780080,14961.29360546,14403.29160735,0.00000000,0.01195139,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-2.00000000,4.00000000,1.20492289,7.92362202,2.00444385,2.66204963,19148.38675577,13402.77204377,0.00000000,0.01168036,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,2.00000000,1.20147920,7.94636916,2.00919848,2.66813166,22856.43242947,15552.18085168,0.00000000,0.00580692,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,4.00000000,2.00000000,1.19406655,7.99577942,2.01957264,2.68134342,17298.37689560,16111.00023315,0.00000000,0.00573565,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-2.00000000,4.00000000,1.19585119,7.98382749,2.01705739,2.67814752,12229.17524548,11076.02959262,180.00000000,0.01150553,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,0.00000000,4.00000000,1.18353237,8.06706414,2.03465149,2.70040574,5737.68717180,6909.09469554,180.00000000,0.01127024,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-3.00000000,2.00000000,1.18903985,8.02963714,2.02671807,2.69039711,14085.05418391,15072.76168145,0.00000000,0.00568757,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,1.00000000,4.00000000,1.15682392,8.25363354,2.07474276,2.75030544,9922.69441791,8822.81277876,0.00000000,0.01076847,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-4.00000000,4.00000000,1.16663269,8.18412021,2.05969932,2.73171193,9185.93262021,9661.84678904,180.00000000,0.01095141,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,4.00000000,1.15886917,8.23904182,2.07157451,2.74640228,6351.35672107,5475.49623680,0.00000000,0.01080649,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,1.00000000,4.00000000,1.15140155,8.29257073,2.08322420,2.76072120,7488.16837517,7297.35081573,180.00000000,0.01066799,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,3.00000000,2.00000000,1.14883808,8.31110692,2.08727570,2.76567987,10120.01223376,11118.88393198,0.00000000,0.00531033,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-4.00000000,4.00000000,1.17521074,8.12428237,2.04685055,2.71570789,4562.18333174,8253.11567647,180.00000000,0.01111267,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,4.00000000,4.00000000,1.15221326,8.28671862,2.08194695,2.75915572,5643.99485668,5363.38423355,0.00000000,0.01068300,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,2.00000000,4.00000000,1.14112771,8.36736305,2.09962657,2.78072990,8944.81092424,8651.65933273,180.00000000,0.01047892,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-3.00000000,4.00000000,1.14769485,8.31940023,2.08909129,2.76789848,6234.79588225,7176.75758575,0.00000000,0.01059958,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-2.00000000,4.00000000,1.12450240,8.49129640,2.12712691,2.81388969,4644.84861958,4488.90140259,-180.00000000,0.01017656,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,3.00000000,4.00000000,1.11141826,8.59144655,2.14964254,2.84069038,5429.70323869,7109.66159862,-0.00000000,0.00994171,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,0.00000000,2.00000000,1.09760649,8.69976420,2.17428906,2.86968117,9770.46763277,9321.87240956,0.00000000,0.00484840,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-1.00000000,4.00000000,1.10604613,8.63325466,2.15911923,2.85187961,2622.50028625,4943.38998630,0.00000000,0.00984609,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-2.00000000,4.00000000,1.10277496,8.65891234,2.16495767,2.85874678,5271.12649643,8823.90686309,0.00000000,0.00978808,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-3.00000000,4.00000000,1.10199233,8.66507356,2.16636223,2.86039585,8133.17417120,12823.07993257,180.00000000,0.00977423,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-4.00000000,4.00000000,1.09846149,8.69297962,2.17273630,2.86786517,8396.65129639,8924.83361710,0.00000000,0.00971186,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,1.00000000,4.00000000,1.08291739,8.81800299,2.20154280,2.90133264,9938.93933086,10691.71419049,180.00000000,0.00943967,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,3.00000000,4.00000000,1.08018860,8.84032343,2.20672859,2.90730825,8769.32592688,10578.78036393,-180.00000000,0.00939229,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-4.00000000,4.00000000,1.09909574,8.68795358,2.17158679,2.86651988,12840.86170828,14798.25879712,180.00000000,0.00972305,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-3.00000000,4.00000000,1.08809285,8.77597819,2.19181436,2.89008233,6789.00933573,6406.05098519,0.00000000,0.00952987,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,1.00000000,2.00000000,1.07631489,8.87220382,2.21415806,2.91584359,6719.79544598,8581.49981454,0.00000000,0.00466262,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,3.00000000,4.00000000,1.07743704,8.86294497,2.21199762,2.91336468,5031.38276988,6398.95710592,0.00000000,0.00934463,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,4.00000000,1.07106398,8.91578769,2.22435792,2.92751298,7597.03069691,10272.51437472,180.00000000,0.00923472,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,1.00000000,4.00000000,1.06972381,8.92698019,2.22698529,2.93050984,6968.84534771,9812.21314880,0.00000000,0.00921169,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,4.00000000,4.00000000,1.06342213,8.97998836,2.23947315,2.94470382,3271.48458746,4955.83808324,180.00000000,0.00910378,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,4.00000000,1.05394664,9.06089074,2.25867410,2.96636924,5638.62174850,4439.86268039,-0.00000000,0.00894273,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,4.00000000,4.00000000,1.04893239,9.10429604,2.26904628,2.97799417,5963.80388349,4431.70828274,0.00000000,0.00885808,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,2.00000000,4.00000000,1.04400758,9.14733422,2.27937941,2.98952154,7518.55533079,6377.49538073,180.00000000,0.00877534,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,4.00000000,1.04536075,9.13546826,2.27652564,2.98634328,4953.63293315,4061.07111623,0.00000000,0.00879804,1.00000000,1.00000000,1.00000000
