h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,8.00000000,0.00000000,2.00000000,1.09925000,8.68673204,1.30058390,0.37842427,390.15060197,8149.91701095,0.00000000,0.82066741,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-1.00000000,4.00000000,1.09789879,8.69744355,1.30090782,0.37842759,328.61391635,7726.06480809,0.00000000,1.63731294,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-2.00000000,4.00000000,1.08963841,8.76350586,1.30291295,0.37844812,191.15399285,7545.07620608,0.00000000,1.61283337,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-3.00000000,4.00000000,1.08849942,8.77269381,1.30319284,0.37845098,107.49165995,5885.66959488,180.00000000,1.60947248,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-4.00000000,4.00000000,1.08549811,8.79699729,1.30393436,0.37845858,122.50970190,7641.80193052,0.00000000,1.60063316,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,1.00000000,4.00000000,1.08445114,8.80550699,1.30419441,0.37846124,88.64718783,5542.06554634,-180.00000000,1.59755542,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,3.00000000,4.00000000,1.08172490,8.82774322,1.30487493,0.37846821,77.24207774,5633.98417867,180.00000000,1.58955512,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-4.00000000,4.00000000,1.08053752,8.83746309,1.30517286,0.37847126,86.00588973,6908.93509063,180.00000000,1.58607699,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-3.00000000,4.00000000,1.07962872,8.84491702,1.30540151,0.37847360,126.11693611,10396.74599325,0.00000000,1.58341747,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,1.00000000,2.00000000,1.07669270,8.86908435,1.30614399,0.37848120,136.14936922,10129.87318162,0.00000000,0.78742038,1.00000000,1.00000000,1.00000000
