h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
2.00000000,2.00000000,1.00000000,4.00000000,1.73657200,5.49554240,11576.04195041,11028.21953501,0.00742978,3.24731520,Li4MgWO6_SG12
2.00000000,2.00000000,2.00000000,4.00000000,1.37947660,6.91968770,10356.95025736,9641.06597454,0.00649524,1.79501810,Li4MgWO6_SG12
2.00000000,2.00000000,3.00000000,4.00000000,1.11299860,8.57922450,7869.16881839,7651.18528787,0.00515465,0.92767689,Li4MgWO6_SG12
2.00000000,2.00000000,4.00000000,4.00000000,0.92179799,10.36318500,5393.22666555,5729.66989554,0.00386011,0.47664727,Li4MgWO6_SG12
2.00000000,2.00000000,5.00000000,4.00000000,0.78221899,12.21889200,4680.72006532,4635.03277316,0.00312265,0.27782550,Li4MgWO6_SG12
2.00000000,2.00000000,6.00000000,4.00000000,0.67733596,14.11992200,4235.21610009,4096.19328228,0.00275963,0.18429441,Li4MgWO6_SG12
2.00000000,4.00000000,-7.00000000,4.00000000,0.69027945,13.85384700,3967.81460597,4006.16056400,0.00269897,0.18444843,Li4MgWO6_SG12
2.00000000,4.00000000,-6.00000000,4.00000000,0.79311879,12.05034200,3939.80869594,4111.99138579,0.00277027,0.24927632,Li4MgWO6_SG12
2.00000000,4.00000000,-5.00000000,4.00000000,0.92504575,10.32670200,5397.96382117,5762.83458265,0.00388246,0.47412359,Li4MgWO6_SG12
2.00000000,4.00000000,-4.00000000,4.00000000,1.09410950,8.72762440,8671.85821873,8617.00713644,0.00580533,0.98991400,Li4MgWO6_SG12
2.00000000,4.00000000,-3.00000000,4.00000000,1.30191570,7.33247220,9673.00379039,9219.52968190,0.00621125,1.49851740,Li4MgWO6_SG12
2.00000000,4.00000000,-2.00000000,4.00000000,1.52067550,6.27649940,9058.56262899,8272.67049963,0.00557335,1.83741600,Li4MgWO6_SG12
2.00000000,4.00000000,-1.00000000,4.00000000,1.66030410,5.74819340,9046.66342187,9016.73404356,0.00607463,2.39961630,Li4MgWO6_SG12
2.00000000,4.00000000,0.00000000,4.00000000,1.62019840,5.89060590,12302.11501936,11563.34823966,0.00779030,2.95020180,Li4MgWO6_SG12
2.00000000,4.00000000,1.00000000,4.00000000,1.43298510,6.66100580,10645.34150069,10466.22299679,0.00705116,2.09834180,Li4MgWO6_SG12
2.00000000,4.00000000,2.00000000,4.00000000,1.21189010,7.87799650,7599.27381962,7709.51835772,0.00519395,1.10758940,Li4MgWO6_SG12
2.00000000,4.00000000,3.00000000,4.00000000,1.01921960,9.37029380,6089.78453814,6103.16797370,0.00411174,0.62060779,Li4MgWO6_SG12
2.00000000,4.00000000,4.00000000,4.00000000,0.86637540,11.02811700,5602.43320523,5755.91351750,0.00387779,0.42313055,Li4MgWO6_SG12
2.00000000,4.00000000,5.00000000,4.00000000,0.74749155,12.78888000,5052.37465595,4948.14060341,0.00333359,0.27097456,Li4MgWO6_SG12
2.00000000,4.00000000,6.00000000,4.00000000,0.65441140,14.61720800,3781.66695524,3843.11171532,0.00258913,0.16149200,Li4MgWO6_SG12
